EnterpriseId,ServiceId,AgeCategoryId,Name,MinimalAge,MaximalAge,ShortName,Classification
8cdb4716-fe25-4817-8625-b13201653015,6c2c90ed-2e07-4242-9fb3-b13201653eda,e3aa828e-0590-4b5d-90ae-b13d017d01b8,Child,0,18,,Child
8cdb4716-fe25-4817-8625-b13201653015,6c2c90ed-2e07-4242-9fb3-b13201653eda,3ff52304-c51a-4413-98ba-b13201653ff7,Children,0,18,,Child
8cdb4716-fe25-4817-8625-b13201653015,6c2c90ed-2e07-4242-9fb3-b13201653eda,3ff97ff3-ed42-4d0f-bc72-b13201653eee,Adults,,,,Adult
773d759a-6463-44a1-af12-ad8a0003acef,d515109e-9e74-474d-902d-b0dc00617588,f20ad7d0-1109-4689-85b7-b0dc0061759d,Children,0,18,,Child
773d759a-6463-44a1-af12-ad8a0003acef,d515109e-9e74-474d-902d-b0dc00617588,f4fbe7d2-7ac0-4593-bd47-b0dc00617589,Adults,,,,Adult
a218c5a1-f81b-4e66-97e6-b09600859fb4,97a86248-b33f-4f68-9246-b0960085a87f,b70c359d-7704-45a4-bae4-b0960085a969,Children,0,18,,Child
a218c5a1-f81b-4e66-97e6-b09600859fb4,97a86248-b33f-4f68-9246-b0960085a87f,37f0d0c5-186a-42a3-b1ed-b0960085a880,Adults,,,,Adult
3dab267b-a7fc-4d17-abf2-b04b00bae0e6,161fb64a-5452-4c90-a197-b04b00bae447,f49eed52-50a9-4705-9d2d-b04b00bae483,Children,0,18,,Child
3dab267b-a7fc-4d17-abf2-b04b00bae0e6,161fb64a-5452-4c90-a197-b04b00bae447,a8cc6fe1-87fa-424c-8fdb-b04b00bae447,Adults,,,,Adult
7c16d57e-1da6-40b1-9581-ad52006a8da5,009e8898-88ec-4156-ac61-b03e00256de8,d18d2975-f454-49ea-9a46-b03e00256dfd,Children,0,18,,Child
7c16d57e-1da6-40b1-9581-ad52006a8da5,009e8898-88ec-4156-ac61-b03e00256de8,282f6610-73ef-4ef8-98ad-b03e00256de8,Adults,,,,Adult
94713c6c-cf82-4e24-a1c8-ad5c00343e66,ab40d482-b173-4257-817d-af63002a3f65,aa9a5ad4-f20a-469f-bcfd-af63002a3f6c,Children,0,18,,Child
94713c6c-cf82-4e24-a1c8-ad5c00343e66,ab40d482-b173-4257-817d-af63002a3f65,cec61972-be32-4b95-b4fc-af63002a3f6c,Adults,,,,Adult
3a00c3d8-68f0-4896-8aab-ad280094b1f4,5fc4c314-7655-426a-bd7f-af4000274948,39c00c95-29c2-4543-98ea-af4000274951,Adults,,,,Adult
3a00c3d8-68f0-4896-8aab-ad280094b1f4,5fc4c314-7655-426a-bd7f-af4000274948,9e435870-6bd2-4697-8454-af4000274951,Children,0,18,,Child
61f40fb2-4edc-46f8-b1b1-ad600045149d,5404938d-870c-460b-bf6b-ae83018a39d7,93eae6ab-68bb-4523-a4d3-ae83018a39e0,Children,0,18,,Child
61f40fb2-4edc-46f8-b1b1-ad600045149d,5404938d-870c-460b-bf6b-ae83018a39d7,56329be1-c85e-4f5e-8670-ae83018a39e0,Adults,,,,Adult
15f2f224-568f-42da-8004-ad28008f0d00,f4d42987-fc41-48fe-8ee0-ae4a005e7775,6cda3ae2-c404-4531-9881-ae4a005e77aa,Adults,,,,Adult
15f2f224-568f-42da-8004-ad28008f0d00,f4d42987-fc41-48fe-8ee0-ae4a005e7775,cae7bd13-5e08-4184-84ff-ae4a005e77aa,Children,0,18,,Child
c59ed2c4-0e4b-4f6f-9ec5-adf200802fef,572d52ad-2595-44e1-b811-adf2008033fe,d9621bdd-0d41-4041-b00f-adf200803599,Adults,,,,Adult
c59ed2c4-0e4b-4f6f-9ec5-adf200802fef,572d52ad-2595-44e1-b811-adf2008033fe,8c04a5c1-83be-4481-9593-adf200803599,Children,0,18,,Child
61f40fb2-4edc-46f8-b1b1-ad600045149d,87a91d97-31bb-4884-9403-ade2017a497e,0cb1355f-2958-415b-be58-ade400cf7f59,Adults,,,,Adult
61f40fb2-4edc-46f8-b1b1-ad600045149d,87a91d97-31bb-4884-9403-ade2017a497e,505241f8-21c4-46b4-964d-ade400cf7f59,Children,0,18,,Child
